Id,comments,toxicity_rate,in_degree,out_degree,in_uwdeg,out_uwdeg,in_wdeg,out_wdeg,betweenness,eigenvector,replies_received,toxic_replies_received,toxic_replies_rate,opinion_leader,toxic_hub,toxic_bridge
#name?,1,0.0,0,1,0,1,0.0,1.0,0.0,2.7755575615628914e-17,,,,False,False,False
--angel--dust--,2,0.0,1,2,1,2,1.0,2.0,0.006804214223002634,8.326672684688674e-17,1.0,0.0,0.0,False,False,False
ash_666s,1,0.0,5,1,5,1,5.0,1.0,0.040715539947322216,0.062228087210053115,5.0,0.0,0.0,True,False,False
asian_juan,1,0.0,1,1,1,1,1.0,1.0,0.0,0.10749985474262315,1.0,0.0,0.0,False,False,False
b3yondr3almz,10,0.0,7,7,7,7,11.0,10.0,0.1335601404741001,0.31768146741102,11.0,0.0,0.0,True,False,True
blushfulphotograph,1,0.0,2,1,2,1,2.0,1.0,0.008230904302019315,0.010437267254160998,2.0,0.0,0.0,False,False,False
capti_virilem,3,0.0,3,2,3,2,4.0,3.0,0.0015364354697102723,0.0,4.0,0.0,0.0,False,False,False
cardiologistroyal816,1,0.0,1,1,1,1,1.0,1.0,0.0,1.0408340855860843e-16,1.0,0.0,0.0,False,False,False
chi-ri_pie,1,0.0,0,1,0,1,0.0,1.0,0.0,3.469446951953614e-18,,,,False,False,False
conscious_eggplant_1,2,0.5,1,1,1,1,2.0,2.0,0.0,0.07947211660166942,2.0,0.0,0.0,False,False,False
coolnbguy,2,0.0,1,1,1,1,2.0,2.0,0.0,0.18389522577868544,2.0,0.0,0.0,False,False,False
cosmiclyacidic,1,0.0,1,1,1,1,1.0,1.0,0.0,0.1838952257786854,1.0,0.0,0.0,False,False,False
delifoxes,2,0.0,1,2,1,2,1.0,2.0,0.061567164179104475,0.08995446883506295,1.0,0.0,0.0,False,False,False
dimensionhope9885,3,0.0,0,3,0,3,0.0,3.0,0.0,2.7755575615628914e-17,,,,False,False,False
dkings_lion,1,0.0,0,1,0,1,0.0,1.0,0.0,-2.7755575615628914e-17,,,,False,False,False
dry-signal2305,2,0.0,1,1,1,1,2.0,2.0,0.0,1.3183898417423734e-16,2.0,0.0,0.0,False,False,False
enchanters_eye,2,0.0,3,2,3,2,3.0,2.0,0.058713784021071115,0.2112073792748295,3.0,0.0,0.0,False,False,False
epictheory2020,1,0.0,0,1,0,1,0.0,1.0,0.0,8.673617379884035e-19,,,,False,False,False
foreign_emergency186,1,0.0,0,1,0,1,0.0,1.0,0.0,0.0,,,,False,False,False
grouptotal6202,2,0.0,3,2,3,2,4.0,2.0,0.000877963125548727,7.632783294297951e-17,4.0,0.0,0.0,False,False,False
hanagirl69,1,0.0,4,1,4,1,4.0,1.0,0.0010974539069359087,2.0469737016526324e-16,4.0,0.0,0.0,True,False,False
independent_gap_5812,2,0.0,2,2,2,2,2.0,2.0,0.1140254609306409,0.2913950805213086,2.0,0.0,0.0,False,False,False
intelligentarcher294,1,0.0,2,1,2,1,2.0,1.0,0.00021949078138718174,3.469446951953614e-17,2.0,0.0,0.0,False,False,False
introductionsad4480,1,0.0,1,1,1,1,1.0,1.0,0.0,5.551115123125783e-17,1.0,0.0,0.0,False,False,False
keenanfindskyanite9,1,1.0,1,1,1,1,1.0,1.0,0.0,0.07947211660166942,1.0,0.0,0.0,False,False,False
kokonutpankake,3,0.0,1,3,1,3,1.0,3.0,0.014596136962247586,0.18389522577868544,1.0,0.0,0.0,False,False,False
laisselefleurir,2,0.0,0,1,0,1,0.0,2.0,0.0,2.7755575615628914e-17,,,,False,False,False
lohanb,1,0.0,0,1,0,1,0.0,1.0,0.0,6.938893903907228e-18,,,,False,False,False
long_cookie_664,5,0.0,3,2,3,2,6.0,5.0,0.08143107989464443,0.21741155729819328,6.0,0.0,0.0,False,False,True
luci_raph,2,0.0,2,2,2,2,3.0,2.0,0.04236172080772608,0.08071234162672625,3.0,0.0,0.0,False,False,False
milkteamoogle,1,0.0,1,1,1,1,1.0,1.0,0.0,0.10749985474262311,1.0,0.0,0.0,False,False,False
n07bcfz7flr,1,0.0,1,1,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
national_elk8445,3,0.0,1,3,1,3,1.0,3.0,0.0010974539069359087,0.0,1.0,0.0,0.0,False,False,False
nohost__,1,0.0,2,1,2,1,2.0,1.0,0.00021949078138718174,0.0,2.0,0.0,0.0,False,False,False
noobslayer-69-420,1,0.0,1,1,1,1,1.0,1.0,0.0,0.18389522577868544,1.0,0.0,0.0,False,False,False
nyctophle,1,0.0,0,1,0,1,0.0,1.0,0.0,-1.3877787807814457e-17,,,,False,False,False
ocamorie_chan,1,0.0,1,1,1,1,1.0,1.0,0.0,0.08995446883506292,1.0,0.0,0.0,False,False,False
odd_manufacturer1729,1,0.0,1,1,1,1,1.0,1.0,0.0,-8.326672684688674e-17,1.0,0.0,0.0,False,False,False
odd_painting8457,1,0.0,0,1,0,1,0.0,1.0,0.0,-1.3877787807814457e-17,,,,False,False,False
one_astronaud_6723,2,0.0,1,1,1,1,1.0,2.0,0.0,0.0,1.0,0.0,0.0,False,False,False
orneryenvironment5,1,0.0,0,1,0,1,0.0,1.0,0.0,6.938893903907228e-18,,,,False,False,False
owo__whats__this,1,0.0,0,1,0,1,0.0,1.0,0.0,0.0,,,,False,False,False
pedestal-for-more,1,1.0,1,1,1,1,1.0,1.0,0.0,0.10749985474262316,1.0,0.0,0.0,False,False,False
persephoreth,2,0.0,1,2,1,2,1.0,2.0,0.006804214223002633,-2.3592239273284576e-16,1.0,0.0,0.0,False,False,False
personalitydue3395,10,0.0,8,9,8,9,9.0,10.0,0.16176470588235292,0.5434435731575963,9.0,0.0,0.0,True,False,True
plane_skill5484,2,0.0,1,1,1,1,2.0,2.0,0.0,0.10749985474262315,2.0,0.0,0.0,False,False,False
queen_m_snake,3,0.0,1,3,1,3,1.0,3.0,0.0006584723441615452,6.765421556309548e-17,1.0,0.0,0.0,False,False,False
reachsouthern,2,0.0,1,2,1,2,1.0,2.0,0.0005487269534679544,0.0035318544795077678,1.0,0.0,0.0,False,False,False
realmogusmoment,5,0.2,4,3,4,3,5.0,5.0,0.027216856892010536,0.23485444404296277,5.0,0.0,0.0,True,False,False
responsible-rock-751,1,0.0,1,1,1,1,1.0,1.0,0.0,1.3877787807814457e-17,1.0,0.0,0.0,False,False,False
rilliu,4,0.0,1,4,1,4,1.0,4.0,0.007243195785776997,1.249000902703301e-16,1.0,0.0,0.0,False,False,False
scarlethsky,1,0.0,1,1,1,1,1.0,1.0,0.0,2.42861286636753e-17,1.0,0.0,0.0,False,False,False
sea_stranger_9764,2,0.0,2,2,2,2,2.0,2.0,0.018437225636523266,0.1838952257786855,2.0,0.0,0.0,False,False,False
shinyrinn,1,0.0,0,1,0,1,0.0,1.0,0.0,0.0,,,,False,False,False
taavae,1,0.0,1,1,1,1,1.0,1.0,0.0,-2.7755575615628914e-17,1.0,0.0,0.0,False,False,False
tea_666,2,0.0,5,2,5,2,5.0,2.0,0.07034679543459174,0.26583168626711706,5.0,0.0,0.0,True,False,True
thebeardedcactus,2,0.0,2,2,2,2,2.0,2.0,0.014047410008779631,0.18389522577868572,2.0,0.0,0.0,False,False,False
tinab65,6,0.0,1,4,1,4,1.0,6.0,0.030618964003511853,0.027312153496143833,1.0,0.0,0.0,False,False,False
tsx_64,1,0.0,1,1,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
tytoalba18,1,0.0,0,0,0,0,0.0,0.0,0.0,-1.3877787807814457e-17,,,,False,False,False
