Source,Target,Weight
#name?,thebeardedcactus,1
--angel--dust--,ash_666s,1
--angel--dust--,national_elk8445,1
ash_666s,tea_666,1
asian_juan,b3yondr3almz,1
b3yondr3almz,asian_juan,1
b3yondr3almz,independent_gap_5812,1
b3yondr3almz,long_cookie_664,3
b3yondr3almz,milkteamoogle,1
b3yondr3almz,pedestal-for-more,1
b3yondr3almz,plane_skill5484,2
b3yondr3almz,realmogusmoment,1
blushfulphotograph,reachsouthern,1
capti_virilem,dry-signal2305,2
capti_virilem,emotionalmission1858,1
cardiologistroyal816,nohost__,1
chi-ri_pie,grouptotal6202,1
conscious_eggplant_1,realmogusmoment,2
coolnbguy,personalitydue3395,2
cosmiclyacidic,personalitydue3395,1
delifoxes,long_cookie_664,1
delifoxes,tea_666,1
dimensionhope9885,enchanters_eye,1
dimensionhope9885,galaxia-night352,1
dimensionhope9885,hanagirl69,1
dkings_lion,capti_virilem,1
dry-signal2305,capti_virilem,2
enchanters_eye,luci_raph,1
enchanters_eye,personalitydue3395,1
epictheory2020,ash_666s,1
foreign_emergency186,b3yondr3almz,1
grouptotal6202,one_astronaud_6723,1
grouptotal6202,tsx_64,1
hanagirl69,scarlethsky,1
independent_gap_5812,b3yondr3almz,1
independent_gap_5812,personalitydue3395,1
intelligentarcher294,responsible-rock-751,1
introductionsad4480,odd_manufacturer1729,1
keenanfindskyanite9,realmogusmoment,1
kokonutpankake,bright_scholar9884,1
kokonutpankake,personalitydue3395,1
kokonutpankake,pudim_vermelho,1
laisselefleurir,ewinskytech,2
lohanb,ash_666s,1
long_cookie_664,b3yondr3almz,4
long_cookie_664,realmogusmoment,1
luci_raph,enchanters_eye,1
luci_raph,tinab65,1
milkteamoogle,b3yondr3almz,1
n07bcfz7flr,queen_m_snake,1
national_elk8445,--angel--dust--,1
national_elk8445,capti_virilem,1
national_elk8445,hanagirl69,1
nohost__,cardiologistroyal816,1
noobslayer-69-420,personalitydue3395,1
nyctophle,intelligentarcher294,1
ocamorie_chan,tea_666,1
odd_manufacturer1729,introductionsad4480,1
odd_painting8457,nohost__,1
one_astronaud_6723,grouptotal6202,2
orneryenvironment5,tea_666,1
owo__whats__this,persephoreth,1
pedestal-for-more,b3yondr3almz,1
persephoreth,bright_scholar9884,1
persephoreth,sea_stranger_9764,1
personalitydue3395,coolnbguy,2
personalitydue3395,cosmiclyacidic,1
personalitydue3395,enchanters_eye,1
personalitydue3395,independent_gap_5812,1
personalitydue3395,kokonutpankake,1
personalitydue3395,noobslayer-69-420,1
personalitydue3395,sea_stranger_9764,1
personalitydue3395,tea_666,1
personalitydue3395,thebeardedcactus,1
plane_skill5484,b3yondr3almz,2
queen_m_snake,hanagirl69,1
queen_m_snake,madamelow,1
queen_m_snake,n07bcfz7flr,1
reachsouthern,blushfulphotograph,1
reachsouthern,bright_scholar9884,1
realmogusmoment,conscious_eggplant_1,2
realmogusmoment,keenanfindskyanite9,1
realmogusmoment,long_cookie_664,2
responsible-rock-751,intelligentarcher294,1
rilliu,ash_666s,1
rilliu,liv_08h,1
rilliu,mikky5345,1
rilliu,taavae,1
scarlethsky,hanagirl69,1
sea_stranger_9764,ash_666s,1
sea_stranger_9764,personalitydue3395,1
shinyrinn,liv_08h,1
taavae,rilliu,1
tea_666,delifoxes,1
tea_666,ocamorie_chan,1
thebeardedcactus,-after-life,1
thebeardedcactus,personalitydue3395,1
tinab65,blushfulphotograph,1
tinab65,galaxia-night352,1
tinab65,luci_raph,2
tinab65,madamelow,2
tsx_64,grouptotal6202,1
