Id,comments,toxicity_rate,in_degree,out_degree
#name?,1,0.0,0,1
--angel--dust--,2,0.0,1,2
ash_666s,1,0.0,5,1
asian_juan,1,0.0,1,1
b3yondr3almz,10,0.0,7,7
blushfulphotograph,1,0.0,2,1
capti_virilem,3,0.0,3,2
cardiologistroyal816,1,0.0,1,1
chi-ri_pie,1,0.0,0,1
conscious_eggplant_1,2,0.5,1,1
coolnbguy,2,0.0,1,1
cosmiclyacidic,1,0.0,1,1
delifoxes,2,0.0,1,2
dimensionhope9885,3,0.0,0,3
dkings_lion,1,0.0,0,1
dry-signal2305,2,0.0,1,1
enchanters_eye,2,0.0,3,2
epictheory2020,1,0.0,0,1
foreign_emergency186,1,0.0,0,1
grouptotal6202,2,0.0,3,2
hanagirl69,1,0.0,4,1
independent_gap_5812,2,0.0,2,2
intelligentarcher294,1,0.0,2,1
introductionsad4480,1,0.0,1,1
keenanfindskyanite9,1,1.0,1,1
kokonutpankake,3,0.0,1,3
laisselefleurir,2,0.0,0,1
lohanb,1,0.0,0,1
long_cookie_664,5,0.0,3,2
luci_raph,2,0.0,2,2
milkteamoogle,1,0.0,1,1
n07bcfz7flr,1,0.0,1,1
national_elk8445,3,0.0,1,3
nohost__,1,0.0,2,1
noobslayer-69-420,1,0.0,1,1
nyctophle,1,0.0,0,1
ocamorie_chan,1,0.0,1,1
odd_manufacturer1729,1,0.0,1,1
odd_painting8457,1,0.0,0,1
one_astronaud_6723,2,0.0,1,1
orneryenvironment5,1,0.0,0,1
owo__whats__this,1,0.0,0,1
pedestal-for-more,1,1.0,1,1
persephoreth,2,0.0,1,2
personalitydue3395,10,0.0,8,9
plane_skill5484,2,0.0,1,1
queen_m_snake,3,0.0,1,3
reachsouthern,2,0.0,1,2
realmogusmoment,5,0.2,4,3
responsible-rock-751,1,0.0,1,1
rilliu,4,0.0,1,4
scarlethsky,1,0.0,1,1
sea_stranger_9764,2,0.0,2,2
shinyrinn,1,0.0,0,1
taavae,1,0.0,1,1
tea_666,2,0.0,5,2
thebeardedcactus,2,0.0,2,2
tinab65,6,0.0,1,4
tsx_64,1,0.0,1,1
tytoalba18,1,0.0,0,0
